"torneo","home_team","away_team","home_goals","away_goals","resultado"
"Torneo Clausura 1995 - Fecha 11","Banfield","River Plate",1,1,"Empate"
"Torneo Apertura 1994 - Fecha 11","River Plate","Banfield",0,0,"Empate"
"Torneo Clausura 1994 - Fecha 1","River Plate","Banfield",1,2,"Visita gana"
"Torneo Apertura 1993 - Fecha 1","Banfield","River Plate",0,0,"Empate"
"Campeonato 1987/88 - Fecha 35","River Plate","Banfield",3,1,"Local gana"
"Campeonato 1987/88 - Fecha 16","Banfield","River Plate",1,4,"Visita gana"
"Metropolitano 1978 - Fecha 29","River Plate","Banfield",0,0,"Empate"
"Metropolitano 1978 - Fecha 8","Banfield","River Plate",1,2,"Visita gana"
"Metropolitano 1977 - Fecha 36","River Plate","Banfield",3,1,"Local gana"
"Metropolitano 1977 - Fecha 13","Banfield","River Plate",1,2,"Visita gana"
"Nacional 1976 - Grupo B","River Plate","Banfield",1,3,"Visita gana"
"Nacional 1976 - Grupo B","Banfield","River Plate",0,0,"Empate"
"Metropolitano 1975 - Fecha 26","River Plate","Banfield",0,0,"Empate"
"Metropolitano 1975 - Fecha 7","Banfield","River Plate",1,2,"Visita gana"
"Metropolitano 1974 - Grupo A","Banfield","River Plate",3,0,"Local gana"
"Metropolitano 1974 - Grupo A","River Plate","Banfield",5,0,"Local gana"
"Metropolitano 1972 - Fecha 24","Banfield","River Plate",2,1,"Local gana"
"Metropolitano 1972 - Fecha 7","River Plate","Banfield",3,1,"Local gana"
"Metropolitano 1971 - Fecha 34","River Plate","Banfield",1,1,"Empate"
"Metropolitano 1971 - Fecha 15","Banfield","River Plate",1,3,"Visita gana"
"Nacional 1971 - Grupo A","Banfield","River Plate",2,2,"Empate"
"Metropolitano 1970 - Fecha 11","Banfield","River Plate",0,1,"Visita gana"
"Metropolitano 1967 - Grupo B","Banfield","River Plate",0,2,"Visita gana"
"Metropolitano 1967 - Grupo B","River Plate","Banfield",2,0,"Local gana"
"Campeonato 1966 - Fecha 32","River Plate","Banfield",2,2,"Empate"
"Campeonato 1966 - Fecha 13","Banfield","River Plate",1,1,"Empate"
"Campeonato 1965 - Fecha 24","Banfield","River Plate",2,1,"Local gana"
"Campeonato 1965 - Fecha 7","River Plate","Banfield",2,1,"Local gana"
"Campeonato 1964 - Fecha 30","Banfield","River Plate",2,2,"Empate"
"Campeonato 1964 - Fecha 15","River Plate","Banfield",1,2,"Visita gana"
"Campeonato 1963 - Fecha 22","Banfield","River Plate",0,1,"Visita gana"
"Campeonato 1963 - Fecha 9","River Plate","Banfield",2,2,"Empate"
"Campeonato 1954 - Fecha 24","River Plate","Banfield",3,1,"Local gana"
"Campeonato 1954 - Fecha 9","Banfield","River Plate",1,2,"Visita gana"
"Campeonato 1953 - Fecha 16","Banfield","River Plate",1,2,"Visita gana"
"Campeonato 1953 - Fecha 1","River Plate","Banfield",1,3,"Visita gana"
"Campeonato 1952 - Fecha 29","River Plate","Banfield",1,1,"Empate"
"Campeonato 1952 - Fecha 14","Banfield","River Plate",2,1,"Local gana"
"Campeonato 1951 - Fecha 27","Banfield","River Plate",0,0,"Empate"
"Campeonato 1951 - Fecha 10","River Plate","Banfield",1,5,"Visita gana"
"Campeonato 1950 - Fecha 24","River Plate","Banfield",1,1,"Empate"
"Campeonato 1950 - Fecha 7","Banfield","River Plate",3,1,"Local gana"
"Campeonato 1949 - Fecha 20","River Plate","Banfield",5,0,"Local gana"
"Campeonato 1949 - Fecha 3","Banfield","River Plate",2,3,"Visita gana"
"Campeonato 1948 - Fecha 27","River Plate","Banfield",2,2,"Empate"
"Campeonato 1948 - Fecha 12","Banfield","River Plate",2,3,"Visita gana"
"Campeonato 1947 - Fecha 23","Banfield","River Plate",2,6,"Visita gana"
"Campeonato 1947 - Fecha 8","River Plate","Banfield",3,0,"Local gana"
"Campeonato 1944 - Fecha 29","River Plate","Banfield",5,4,"Local gana"
"Campeonato 1944 - Fecha 14","Banfield","River Plate",0,3,"Visita gana"
"Campeonato 1943 - Fecha 29","Banfield","River Plate",1,6,"Visita gana"
"Campeonato 1943 - Fecha 14","River Plate","Banfield",6,2,"Local gana"
"Campeonato 1942 - Fecha 25","River Plate","Banfield",5,2,"Local gana"
"Campeonato 1942 - Fecha 10","Banfield","River Plate",0,4,"Visita gana"
"Campeonato 1941 - Fecha 19","Banfield","River Plate",2,4,"Visita gana"
"Campeonato 1941 - Fecha 4","River Plate","Banfield",2,2,"Empate"
"Campeonato 1940 - Fecha 30","Banfield","River Plate",2,1,"Local gana"
"Campeonato 1940 - Fecha 13","River Plate","Banfield",6,0,"Local gana"
"Superliga 2019/20 - Fecha 19","Banfield","Rosario Central",1,1,"Empate"
"Superliga 2018/19 - Fecha 1","Rosario Central","Banfield",1,0,"Local gana"
"Superliga 2017/18 - Fecha 4","Rosario Central","Banfield",0,4,"Visita gana"
"Campeonato 2016/17 - Fecha 28","Banfield","Rosario Central",3,1,"Local gana"
"Torneo 2016 - Fecha 6","Rosario Central","Banfield",2,2,"Empate"
"Campeonato 2015 - Fecha 29","Banfield","Rosario Central",2,1,"Local gana"
"Torneo de Transicion 2014 - Fecha 19","Banfield","Rosario Central",2,3,"Visita gana"
"Torneo Clausura 2010 - Fecha 5","Banfield","Rosario Central",0,0,"Empate"
"Torneo Apertura 2009 - Fecha 5","Rosario Central","Banfield",0,0,"Empate"
"Torneo Clausura 2009 - Fecha 4","Banfield","Rosario Central",3,1,"Local gana"
"Torneo Apertura 2008 - Fecha 4","Rosario Central","Banfield",0,0,"Empate"
"Torneo Clausura 2008 - Fecha 7","Rosario Central","Banfield",2,1,"Local gana"
"Torneo Apertura 2007 - Fecha 7","Banfield","Rosario Central",3,2,"Local gana"
"Torneo Clausura 2007 - Fecha 3","Rosario Central","Banfield",1,1,"Empate"
"Torneo Apertura 2006 - Fecha 3","Banfield","Rosario Central",1,1,"Empate"
"Torneo Clausura 2006 - Fecha 14","Banfield","Rosario Central",2,0,"Local gana"
"Torneo Apertura 2005 - Fecha 14","Rosario Central","Banfield",0,0,"Empate"
"Torneo Clausura 2005 - Fecha 15","Banfield","Rosario Central",3,0,"Local gana"
"Torneo Apertura 2004 - Fecha 15","Rosario Central","Banfield",3,1,"Local gana"
"Torneo Clausura 2004 - Fecha 19","Banfield","Rosario Central",1,1,"Empate"
"Torneo Apertura 2003 - Fecha 19","Rosario Central","Banfield",2,2,"Empate"
"Torneo Clausura 2003 - Fecha 18","Banfield","Rosario Central",0,0,"Empate"
"Torneo Apertura 2002 - Fecha 18","Rosario Central","Banfield",1,0,"Local gana"
"Torneo Clausura 2002 - Fecha 10","Banfield","Rosario Central",2,1,"Local gana"
"Torneo Apertura 2001 - Fecha 10","Rosario Central","Banfield",1,0,"Local gana"
"Torneo Clausura 1997 - Fecha 15","Rosario Central","Banfield",2,0,"Local gana"
"Torneo Apertura 1996 - Fecha 15","Banfield","Rosario Central",1,1,"Empate"
"Torneo Clausura 1996 - Fecha 3","Banfield","Rosario Central",2,1,"Local gana"
"Torneo Apertura 1995 - Fecha 3","Rosario Central","Banfield",1,1,"Empate"
"Torneo Clausura 1995 - Fecha 4","Rosario Central","Banfield",1,0,"Local gana"
"Torneo Apertura 1994 - Fecha 4","Banfield","Rosario Central",0,0,"Empate"
"Torneo Clausura 1994 - Fecha 13","Rosario Central","Banfield",2,0,"Local gana"
"Torneo Apertura 1993 - Fecha 13","Banfield","Rosario Central",4,1,"Local gana"
"Campeonato 1987/88 - Fecha 20","Rosario Central","Banfield",5,1,"Local gana"
"Campeonato 1987/88 - Fecha 1","Banfield","Rosario Central",0,1,"Visita gana"
"Metropolitano 1978 - Fecha 23","Rosario Central","Banfield",1,1,"Empate"
"Metropolitano 1978 - Fecha 2","Banfield","Rosario Central",2,2,"Empate"
"Metropolitano 1977 - Fecha 44","Banfield","Rosario Central",0,0,"Empate"
"Metropolitano 1977 - Fecha 21","Rosario Central","Banfield",2,0,"Local gana"
"Metropolitano 1976 - Grupo A","Rosario Central","Banfield",1,1,"Empate"
"Metropolitano 1976 - Grupo A","Banfield","Rosario Central",1,3,"Visita gana"
"Metropolitano 1975 - Fecha 25","Banfield","Rosario Central",2,0,"Local gana"
"Metropolitano 1975 - Fecha 6","Rosario Central","Banfield",5,0,"Local gana"
"Nacional 1975 - Grupo C","Rosario Central","Banfield",1,1,"Empate"
"Nacional 1975 - Grupo C","Banfield","Rosario Central",1,2,"Visita gana"
"Metropolitano 1974 - Grupo A","Banfield","Rosario Central",1,2,"Visita gana"
"Metropolitano 1974 - Grupo A","Rosario Central","Banfield",3,1,"Local gana"
"Nacional 1974 - Grupo A","Rosario Central","Banfield",1,0,"Local gana"
"Nacional 1974 - Grupo A","Banfield","Rosario Central",1,1,"Empate"
"Metropolitano 1972 - Fecha 31","Rosario Central","Banfield",1,0,"Local gana"
"Metropolitano 1972 - Fecha 14","Banfield","Rosario Central",2,0,"Local gana"
"Metropolitano 1971 - Fecha 22","Rosario Central","Banfield",1,1,"Empate"
"Metropolitano 1971 - Fecha 3","Banfield","Rosario Central",0,0,"Empate"
"Metropolitano 1970 - Fecha 9","Rosario Central","Banfield",0,0,"Empate"
"Nacional 1970 - Grupo B","Rosario Central","Banfield",2,0,"Local gana"
"Nacional 1970 - Grupo B","Banfield","Rosario Central",4,1,"Local gana"
"Metropolitano 1969 - Grupo A","Banfield","Rosario Central",1,1,"Empate"
"Metropolitano 1969 - Grupo A","Rosario Central","Banfield",1,1,"Empate"
"Metropolitano 1969 - Grupo Reclasificatorio","Banfield","Rosario Central",1,0,"Local gana"
"Metropolitano 1969 - Grupo Reclasificatorio","Rosario Central","Banfield",4,0,"Local gana"
"Metropolitano 1967 - Grupo B","Rosario Central","Banfield",1,1,"Empate"
"Metropolitano 1967 - Grupo B","Banfield","Rosario Central",2,0,"Local gana"
"Campeonato 1966 - Fecha 37","Banfield","Rosario Central",1,2,"Visita gana"
"Campeonato 1966 - Fecha 18","Rosario Central","Banfield",2,0,"Local gana"
"Campeonato 1965 - Fecha 34","Rosario Central","Banfield",0,0,"Empate"
"Campeonato 1965 - Fecha 17","Banfield","Rosario Central",0,0,"Empate"
"Campeonato 1964 - Fecha 27","Rosario Central","Banfield",2,1,"Local gana"
"Campeonato 1964 - Fecha 12","Banfield","Rosario Central",1,1,"Empate"
"Campeonato 1963 - Fecha 26","Banfield","Rosario Central",3,0,"Local gana"
"Campeonato 1963 - Fecha 13","Rosario Central","Banfield",2,0,"Local gana"
"Campeonato 1954 - Fecha 19","Banfield","Rosario Central",0,1,"Visita gana"
"Campeonato 1954 - Fecha 4","Rosario Central","Banfield",2,4,"Visita gana"
"Campeonato 1953 - Fecha 20","Banfield","Rosario Central",1,1,"Empate"
"Campeonato 1953 - Fecha 5","Rosario Central","Banfield",2,1,"Local gana"
"Campeonato 1952 - Fecha 20","Rosario Central","Banfield",2,1,"Local gana"
"Campeonato 1952 - Fecha 5","Banfield","Rosario Central",2,2,"Empate"
"Campeonato 1950 - Fecha 33","Rosario Central","Banfield",1,0,"Local gana"
"Campeonato 1950 - Fecha 16","Banfield","Rosario Central",1,1,"Empate"
"Campeonato 1949 - Fecha 30","Rosario Central","Banfield",5,1,"Local gana"
"Campeonato 1949 - Fecha 13","Banfield","Rosario Central",4,3,"Local gana"
"Campeonato 1948 - Fecha 18","Rosario Central","Banfield",5,2,"Local gana"
"Campeonato 1948 - Fecha 3","Banfield","Rosario Central",4,3,"Local gana"
"Campeonato 1947 - Fecha 28","Rosario Central","Banfield",4,2,"Local gana"
"Campeonato 1947 - Fecha 13","Banfield","Rosario Central",4,1,"Local gana"
"Campeonato 1944 - Fecha 23","Rosario Central","Banfield",2,2,"Empate"
"Campeonato 1944 - Fecha 8","Banfield","Rosario Central",1,3,"Visita gana"
"Campeonato 1943 - Fecha 23","Banfield","Rosario Central",3,2,"Local gana"
"Campeonato 1943 - Fecha 8","Rosario Central","Banfield",1,0,"Local gana"
"Campeonato 1941 - Fecha 30","Banfield","Rosario Central",4,2,"Local gana"
"Campeonato 1941 - Fecha 15","Rosario Central","Banfield",1,2,"Visita gana"
"Campeonato 1940 - Fecha 26","Banfield","Rosario Central",3,1,"Local gana"
"Campeonato 1940 - Fecha 9","Rosario Central","Banfield",3,2,"Local gana"
"Liga 2021 - Fecha 4","San Lorenzo","Banfield",1,1,"Empate"
"Superliga 2019/20 - Fecha 8","Banfield","San Lorenzo",0,1,"Visita gana"
"Superliga 2018/19 - Fecha 8","Banfield","San Lorenzo",2,0,"Local gana"
"Superliga 2017/18 - Fecha 8","San Lorenzo","Banfield",0,1,"Visita gana"
"Campeonato 2016/17 - Fecha 29","San Lorenzo","Banfield",1,0,"Local gana"
"Torneo 2016 - Fecha 16","San Lorenzo","Banfield",1,1,"Empate"
"Campeonato 2015 - Fecha 22","San Lorenzo","Banfield",0,0,"Empate"
"Torneo de Transicion 2014 - Fecha 3","San Lorenzo","Banfield",0,2,"Visita gana"
"Torneo Clausura 2012 - Fecha 11","Banfield","San Lorenzo",1,1,"Empate"
"Torneo Apertura 2011 - Fecha 11","San Lorenzo","Banfield",1,0,"Local gana"
"Torneo Clausura 2011 - Fecha 19","Banfield","San Lorenzo",1,1,"Empate"
"Torneo Apertura 2010 - Fecha 19","San Lorenzo","Banfield",2,1,"Local gana"
"Torneo Clausura 2010 - Fecha 13","Banfield","San Lorenzo",2,0,"Local gana"
"Torneo Apertura 2009 - Fecha 13","San Lorenzo","Banfield",0,1,"Visita gana"
"Torneo Clausura 2009 - Fecha 6","San Lorenzo","Banfield",3,1,"Local gana"
"Torneo Apertura 2008 - Fecha 6","Banfield","San Lorenzo",1,3,"Visita gana"
"Torneo Clausura 2008 - Fecha 18","San Lorenzo","Banfield",3,2,"Local gana"
"Torneo Apertura 2007 - Fecha 18","Banfield","San Lorenzo",1,0,"Local gana"
"Torneo Clausura 2007 - Fecha 5","San Lorenzo","Banfield",2,1,"Local gana"
"Torneo Apertura 2006 - Fecha 5","Banfield","San Lorenzo",1,2,"Visita gana"
"Torneo Clausura 2006 - Fecha 17","San Lorenzo","Banfield",1,0,"Local gana"
"Torneo Apertura 2005 - Fecha 17","Banfield","San Lorenzo",5,0,"Local gana"
"Torneo Clausura 2005 - Fecha 9","Banfield","San Lorenzo",1,0,"Local gana"
"Torneo Apertura 2004 - Fecha 9","San Lorenzo","Banfield",3,1,"Local gana"
"Torneo Clausura 2004 - Fecha 15","Banfield","San Lorenzo",0,1,"Visita gana"
"Torneo Apertura 2003 - Fecha 15","San Lorenzo","Banfield",1,0,"Local gana"
"Torneo Clausura 2003 - Fecha 4","Banfield","San Lorenzo",1,1,"Empate"
"Torneo Apertura 2002 - Fecha 4","San Lorenzo","Banfield",2,1,"Local gana"
"Torneo Clausura 2002 - Fecha 3","San Lorenzo","Banfield",2,0,"Local gana"
"Torneo Apertura 2001 - Fecha 3","Banfield","San Lorenzo",2,2,"Empate"
"Torneo Clausura 1997 - Fecha 1","Banfield","San Lorenzo",1,1,"Empate"
"Torneo Apertura 1996 - Fecha 1","San Lorenzo","Banfield",0,1,"Visita gana"
"Torneo Clausura 1996 - Fecha 18","San Lorenzo","Banfield",0,1,"Visita gana"
"Torneo Apertura 1995 - Fecha 18","Banfield","San Lorenzo",2,5,"Visita gana"
"Torneo Clausura 1995 - Fecha 9","Banfield","San Lorenzo",0,3,"Visita gana"
"Torneo Apertura 1994 - Fecha 9","San Lorenzo","Banfield",1,0,"Local gana"
"Torneo Clausura 1994 - Fecha 9","San Lorenzo","Banfield",2,0,"Local gana"
"Torneo Apertura 1993 - Fecha 9","Banfield","San Lorenzo",0,1,"Visita gana"
"Campeonato 1987/88 - Fecha 28","Banfield","San Lorenzo",2,2,"Empate"
"Campeonato 1987/88 - Fecha 9","San Lorenzo","Banfield",0,0,"Empate"
"Metropolitano 1978 - Fecha 24","Banfield","San Lorenzo",1,1,"Empate"
"Metropolitano 1978 - Fecha 3","San Lorenzo","Banfield",1,2,"Visita gana"
"Metropolitano 1977 - Fecha 37","Banfield","San Lorenzo",2,0,"Local gana"
"Metropolitano 1977 - Fecha 14","San Lorenzo","Banfield",0,2,"Visita gana"
"Nacional 1977 - Grupo A","Banfield","San Lorenzo",2,1,"Local gana"
"Nacional 1977 - Grupo A","San Lorenzo","Banfield",3,2,"Local gana"
"Metropolitano 1975 - Fecha 37","San Lorenzo","Banfield",2,0,"Local gana"
"Metropolitano 1975 - Fecha 18","Banfield","San Lorenzo",3,0,"Local gana"
"Metropolitano 1972 - Fecha 21","San Lorenzo","Banfield",3,0,"Local gana"
"Metropolitano 1972 - Fecha 4","Banfield","San Lorenzo",1,2,"Visita gana"
"Metropolitano 1971 - Fecha 36","San Lorenzo","Banfield",1,3,"Visita gana"
"Metropolitano 1971 - Fecha 17","Banfield","San Lorenzo",0,1,"Visita gana"
"Metropolitano 1970 - Fecha 15","Banfield","San Lorenzo",1,1,"Empate"
"Metropolitano 1969 - Grupo A","Banfield","San Lorenzo",1,1,"Empate"
"Metropolitano 1969 - Grupo A","San Lorenzo","Banfield",4,0,"Local gana"
"Metropolitano 1968 - Grupo A","Banfield","San Lorenzo",1,2,"Visita gana"
"Metropolitano 1968 - Grupo A","San Lorenzo","Banfield",3,0,"Local gana"
"Metropolitano 1967 - Grupo B","Banfield","San Lorenzo",1,0,"Local gana"
"Metropolitano 1967 - Grupo B","San Lorenzo","Banfield",2,2,"Empate"
"Campeonato 1966 - Fecha 25","San Lorenzo","Banfield",4,2,"Local gana"
"Campeonato 1966 - Fecha 6","Banfield","San Lorenzo",3,1,"Local gana"
"Campeonato 1965 - Fecha 26","Banfield","San Lorenzo",0,0,"Empate"
"Campeonato 1965 - Fecha 9","San Lorenzo","Banfield",0,2,"Visita gana"
"Campeonato 1964 - Fecha 25","San Lorenzo","Banfield",4,1,"Local gana"
"Campeonato 1964 - Fecha 10","Banfield","San Lorenzo",0,0,"Empate"
"Campeonato 1963 - Fecha 24","Banfield","San Lorenzo",2,2,"Empate"
"Campeonato 1963 - Fecha 11","San Lorenzo","Banfield",1,0,"Local gana"
"Campeonato 1954 - Fecha 30","Banfield","San Lorenzo",0,0,"Empate"
"Campeonato 1954 - Fecha 15","San Lorenzo","Banfield",3,1,"Local gana"
"Campeonato 1953 - Fecha 30","San Lorenzo","Banfield",4,0,"Local gana"
"Campeonato 1953 - Fecha 15","Banfield","San Lorenzo",1,1,"Empate"
"Campeonato 1952 - Fecha 18","San Lorenzo","Banfield",0,2,"Visita gana"
"Campeonato 1952 - Fecha 3","Banfield","San Lorenzo",1,0,"Local gana"
"Campeonato 1951 - Fecha 22","San Lorenzo","Banfield",1,0,"Local gana"
"Campeonato 1951 - Fecha 5","Banfield","San Lorenzo",3,0,"Local gana"
"Campeonato 1950 - Fecha 21","Banfield","San Lorenzo",3,0,"Local gana"
"Campeonato 1950 - Fecha 4","San Lorenzo","Banfield",8,2,"Local gana"
"Campeonato 1949 - Fecha 27","Banfield","San Lorenzo",3,3,"Empate"
"Campeonato 1949 - Fecha 10","San Lorenzo","Banfield",3,3,"Empate"
"Campeonato 1948 - Fecha 22","Banfield","San Lorenzo",2,3,"Visita gana"
"Campeonato 1948 - Fecha 7","San Lorenzo","Banfield",1,1,"Empate"
"Campeonato 1947 - Fecha 18","Banfield","San Lorenzo",1,0,"Local gana"
"Campeonato 1947 - Fecha 3","San Lorenzo","Banfield",6,1,"Local gana"
"Campeonato 1944 - Fecha 28","Banfield","San Lorenzo",1,1,"Empate"
"Campeonato 1944 - Fecha 13","San Lorenzo","Banfield",3,3,"Empate"
"Campeonato 1943 - Fecha 27","Banfield","San Lorenzo",3,1,"Local gana"
"Campeonato 1943 - Fecha 12","San Lorenzo","Banfield",2,0,"Local gana"
"Campeonato 1942 - Fecha 28","Banfield","San Lorenzo",3,1,"Local gana"
"Campeonato 1942 - Fecha 13","San Lorenzo","Banfield",1,3,"Visita gana"
"Campeonato 1941 - Fecha 18","San Lorenzo","Banfield",0,2,"Visita gana"
"Campeonato 1941 - Fecha 3","Banfield","San Lorenzo",1,4,"Visita gana"
"Campeonato 1940 - Fecha 28","Banfield","San Lorenzo",2,2,"Empate"
"Campeonato 1940 - Fecha 11","San Lorenzo","Banfield",2,2,"Empate"
"Nacional 1968 - Grupo Promocional","San Lorenzo (MdP)","Banfield",0,2,"Visita gana"
"Nacional 1968 - Grupo Promocional","Banfield","San Lorenzo (MdP)",2,0,"Local gana"
"Nacional 1971 - Grupo A","San Martin (M)","Banfield",1,1,"Empate"
"Superliga 2018/19 - Fecha 16","Banfield","San Martin (SJ)",1,1,"Empate"
"Superliga 2017/18 - Fecha 11","San Martin (SJ)","Banfield",2,1,"Local gana"
"Campeonato 2016/17 - Fecha 5","Banfield","San Martin (SJ)",3,2,"Local gana"
"Campeonato 2015 - Fecha 5","Banfield","San Martin (SJ)",3,2,"Local gana"
"Torneo Clausura 2012 - Fecha 13","Banfield","San Martin (SJ)",1,2,"Visita gana"
"Torneo Apertura 2011 - Fecha 13","San Martin (SJ)","Banfield",2,1,"Local gana"
"Torneo Clausura 2008 - Fecha 15","Banfield","San Martin (SJ)",5,1,"Local gana"
"Torneo Apertura 2007 - Fecha 15","San Martin (SJ)","Banfield",0,1,"Visita gana"
"Nacional 1970 - Grupo B","San Martin (SJ)","Banfield",0,0,"Empate"
"Nacional 1970 - Grupo B","Banfield","San Martin (SJ)",4,2,"Local gana"
"Nacional 1968 - Grupo Promocional","Banfield","San Martin (SJ)",5,1,"Local gana"
"Nacional 1968 - Grupo Promocional","San Martin (SJ)","Banfield",2,2,"Empate"
"Superliga 2018/19 - Fecha 7","San Martin (T)","Banfield",1,1,"Empate"
"Torneo Clausura 2009 - Fecha 9","Banfield","San Martin (T)",0,0,"Empate"
"Torneo Apertura 2008 - Fecha 9","San Martin (T)","Banfield",0,1,"Visita gana"
"Nacional 1977 - Grupo A","Banfield","San Martin (T)",1,1,"Empate"
"Nacional 1977 - Grupo A","San Martin (T)","Banfield",3,0,"Local gana"
"Nacional 1976 - Grupo B","San Martin (T)","Banfield",1,5,"Visita gana"
"Nacional 1976 - Grupo B","Banfield","San Martin (T)",1,1,"Empate"
"Metropolitano 1976 - Grupo Descenso","Banfield","San Telmo",6,3,"Local gana"
"Metropolitano 1976 - Grupo A","San Telmo","Banfield",1,1,"Empate"
"Metropolitano 1976 - Grupo A","Banfield","San Telmo",2,2,"Empate"
"Nacional 1976 - Grupo B","Banfield","San Telmo",3,1,"Local gana"
"Nacional 1976 - Grupo B","San Telmo","Banfield",1,3,"Visita gana"
"Metropolitano 1969 - Grupo Reclasificatorio","San Telmo","Banfield",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 23","Banfield","Sarmiento (J)",2,0,"Local gana"
"Torneo 2016 - Fecha 13","Banfield","Sarmiento (J)",0,0,"Empate"
"Campeonato 2015 - Fecha 15","Banfield","Sarmiento (J)",0,0,"Empate"
"Nacional 1967 - Grupo Promocional","Banfield","Sp. Guzman (T)",1,1,"Empate"
"Nacional 1967 - Grupo Promocional","Sp. Guzman (T)","Banfield",4,2,"Local gana"
"Superliga 2019/20 - Fecha 6","Banfield","Talleres (C)",0,1,"Visita gana"
"Superliga 2018/19 - Fecha 17","Talleres (C)","Banfield",3,1,"Local gana"
"Superliga 2017/18 - Fecha 15","Talleres (C)","Banfield",1,0,"Local gana"
"Campeonato 2016/17 - Fecha 4","Talleres (C)","Banfield",0,0,"Empate"
"Torneo Clausura 2004 - Fecha 12","Talleres (C)","Banfield",2,2,"Empate"
"Torneo Apertura 2003 - Fecha 12","Banfield","Talleres (C)",2,1,"Local gana"
"Torneo Clausura 2003 - Fecha 16","Banfield","Talleres (C)",1,0,"Local gana"
"Torneo Apertura 2002 - Fecha 16","Talleres (C)","Banfield",1,1,"Empate"
"Torneo Clausura 2002 - Fecha 11","Talleres (C)","Banfield",1,2,"Visita gana"
"Torneo Apertura 2001 - Fecha 11","Banfield","Talleres (C)",2,1,"Local gana"
"Torneo Clausura 1995 - Fecha 19","Talleres (C)","Banfield",0,0,"Empate"
"Torneo Apertura 1994 - Fecha 19","Banfield","Talleres (C)",1,0,"Local gana"
"Campeonato 1987/88 - Fecha 25","Banfield","Talleres (C)",3,1,"Local gana"
"Campeonato 1987/88 - Fecha 6","Talleres (C)","Banfield",1,3,"Visita gana"
"Superliga 2017/18 - Fecha 9","Banfield","Temperley",0,0,"Empate"
"Campeonato 2016/17 - Fecha 26","Banfield","Temperley",3,1,"Local gana"
"Campeonato 2015 - Fecha 1","Banfield","Temperley",0,1,"Visita gana"
"Metropolitano 1977 - Fecha 27","Banfield","Temperley",1,1,"Empate"
"Metropolitano 1977 - Fecha 4","Temperley","Banfield",0,1,"Visita gana"
"Metropolitano 1976 - Grupo Descenso","Temperley","Banfield",1,1,"Empate"
"Metropolitano 1976 - Fecha Intergrupo","Temperley","Banfield",1,1,"Empate"
"Metropolitano 1976 - Fecha Intergrupo","Banfield","Temperley",1,0,"Local gana"
"Nacional 1976 - Fecha Intergrupo","Banfield","Temperley",2,0,"Local gana"
"Nacional 1976 - Fecha Intergrupo","Temperley","Banfield",1,2,"Visita gana"
"Metropolitano 1975 - Fecha 36","Banfield","Temperley",5,1,"Local gana"
"Metropolitano 1975 - Fecha 17","Temperley","Banfield",4,3,"Local gana"
"Nacional 1975 - Fecha Intergrupo","Temperley","Banfield",3,1,"Local gana"
"Nacional 1975 - Fecha Intergrupo","Banfield","Temperley",1,2,"Visita gana"
"Superliga 2018/19 - Fecha 18","Tigre","Banfield",4,4,"Empate"
"Superliga 2017/18 - Fecha 13","Tigre","Banfield",1,2,"Visita gana"
"Campeonato 2016/17 - Fecha 22","Tigre","Banfield",0,1,"Visita gana"
"Campeonato 2015 - Fecha 28","Tigre","Banfield",3,1,"Local gana"
"Torneo de Transicion 2014 - Fecha 4","Banfield","Tigre",1,0,"Local gana"
"Torneo Clausura 2012 - Fecha 5","Banfield","Tigre",0,2,"Visita gana"
"Torneo Apertura 2011 - Fecha 5","Tigre","Banfield",1,0,"Local gana"
"Torneo Clausura 2011 - Fecha 5","Tigre","Banfield",1,2,"Visita gana"
"Torneo Apertura 2010 - Fecha 5","Banfield","Tigre",1,1,"Empate"
"Torneo Clausura 2010 - Fecha 18","Tigre","Banfield",1,2,"Visita gana"
"Torneo Apertura 2009 - Fecha 18","Banfield","Tigre",1,0,"Local gana"
"Torneo Clausura 2009 - Fecha 19","Banfield","Tigre",0,3,"Visita gana"
"Torneo Apertura 2008 - Fecha 19","Tigre","Banfield",1,0,"Local gana"
"Torneo Clausura 2008 - Fecha 6","Banfield","Tigre",3,3,"Empate"
"Torneo Apertura 2007 - Fecha 6","Tigre","Banfield",1,0,"Local gana"
"Campeonato 1954 - Fecha 25","Banfield","Tigre",1,1,"Empate"
"Campeonato 1954 - Fecha 10","Tigre","Banfield",3,1,"Local gana"
"Campeonato 1950 - Fecha 22","Tigre","Banfield",3,0,"Local gana"
"Campeonato 1950 - Fecha 5","Banfield","Tigre",5,0,"Local gana"
"Campeonato 1949 - Fecha 33","Tigre","Banfield",3,1,"Local gana"
"Campeonato 1949 - Fecha 16","Banfield","Tigre",5,2,"Local gana"
"Campeonato 1948 - Fecha 25","Tigre","Banfield",4,2,"Local gana"
"Campeonato 1948 - Fecha 10","Banfield","Tigre",4,2,"Local gana"
"Campeonato 1947 - Fecha 27","Banfield","Tigre",2,2,"Empate"
"Campeonato 1947 - Fecha 12","Tigre","Banfield",2,1,"Local gana"
"Campeonato 1942 - Fecha 17","Tigre","Banfield",1,5,"Visita gana"
"Campeonato 1942 - Fecha 2","Banfield","Tigre",6,4,"Local gana"
"Campeonato 1941 - Fecha 25","Tigre","Banfield",1,0,"Local gana"
"Campeonato 1941 - Fecha 10","Banfield","Tigre",0,5,"Visita gana"
